Measurement Number,Phase offset: 0 pi,Phase offset: 2/3 pi,Phase offset: 4/3 pi
0,102,216,83
1,123,118,146
2,97,171,123
3,75,132,189
4,88,147,155
5,155,122,111
6,143,188,67
7,106,123,160
8,122,121,143
9,131,119,136
10,121,125,140
11,143,130,113
12,140,125,121
13,125,131,131
14,121,138,128
15,136,123,127
16,155,48,203
17,133,126,128
18,123,137,127
19,112,154,122
20,134,120,132
21,153,117,118
22,145,163,83
23,134,148,105
24,128,106,154
25,138,116,133
26,124,145,118
27,124,159,105
28,113,158,117
29,142,141,104
30,158,126,104
31,125,120,141
32,162,26,232
33,140,158,92
34,140,123,124
35,134,154,100
36,145,134,109
37,154,119,115
38,199,88,110
39,121,131,135
40,76,155,162
41,130,132,124
42,145,115,127
43,160,128,101
44,128,115,144
45,122,113,152
46,125,122,139
47,146,133,108
48,0,187,252
49,95,183,114
50,159,113,116
51,221,88,94
52,203,89,106
53,150,80,162
54,85,78,255
55,127,160,102
56,134,159,96
57,125,136,125
58,129,125,132
59,113,137,137
60,139,134,114
61,120,138,128
62,108,155,124
63,131,118,137
