Measurement Number,Phase offset: 0 pi,Phase offset: 2/3 pi,Phase offset: 4/3 pi
0,134,167,25
1,99,114,96
2,93,104,112
3,109,92,110
4,70,141,102
5,95,72,147
6,93,38,200
7,114,86,111
8,85,98,128
9,101,125,85
10,100,146,68
11,107,116,88
12,69,184,70
13,112,90,108
14,110,93,107
15,111,99,100
16,98,95,117
17,104,105,101
18,96,107,106
19,104,104,102
20,99,104,106
21,99,103,108
22,100,103,107
23,109,100,100
24,106,101,102
25,105,104,100
26,110,104,96
27,102,105,103
28,103,118,89
29,102,104,104
30,110,97,104
31,103,100,107
32,85,131,95
33,108,108,94
34,104,102,104
35,105,99,105
36,96,100,114
37,93,104,113
38,102,96,112
39,104,109,97
40,95,105,110
41,109,102,99
42,104,106,99
43,102,108,100
44,111,99,100
45,103,92,115
46,109,99,102
47,108,103,98
48,86,160,71
49,99,104,106
50,103,108,98
51,111,96,103
52,99,105,106
53,106,96,109
54,115,99,95
55,112,101,97
56,100,96,113
57,100,104,105
58,103,90,117
59,92,104,114
60,102,75,135
61,111,100,99
62,100,110,100
63,103,114,93
64,87,33,217
65,100,113,97
66,103,93,114
67,95,130,86
68,97,116,97
69,107,103,101
70,101,111,99
71,98,102,110
72,106,94,109
73,104,108,98
74,123,101,87
75,102,111,97
76,115,137,62
77,112,91,108
78,107,114,90
79,111,85,115
80,137,55,123
81,100,106,104
82,111,100,99
83,89,113,107
84,111,106,93
85,102,105,103
86,89,113,108
87,100,95,115
88,101,109,100
89,112,105,93
90,103,115,93
91,104,110,96
92,104,133,76
93,103,101,106
94,101,99,109
95,108,95,108
96,104,72,137
97,98,104,108
98,113,94,102
99,84,125,101
100,108,110,93
101,91,116,103
102,81,114,115
103,93,99,118
104,95,106,109
105,113,94,104
106,119,113,80
107,106,119,86
108,134,120,60
109,110,95,105
110,102,97,111
111,118,86,107
112,103,135,74
113,107,94,109
114,113,107,90
115,104,96,110
116,119,98,93
117,101,110,98
118,108,109,93
119,93,110,107
120,87,118,106
121,107,94,108
122,96,102,112
123,108,98,104
124,111,80,121
125,104,112,94
126,98,101,112
127,104,112,95
128,174,0,164
129,106,91,112
130,88,127,95
131,104,79,129
132,107,107,96
133,101,104,105
134,110,114,86
135,106,98,106
136,90,117,103
137,107,119,85
138,103,137,73
139,99,104,107
140,133,107,73
141,103,109,98
142,108,80,123
143,90,140,82
144,85,109,117
145,105,100,105
146,104,106,100
147,108,95,108
148,105,99,105
149,106,109,95
150,111,113,86
151,107,106,96
152,97,103,110
153,103,96,111
154,108,94,108
155,100,104,105
156,106,83,122
157,100,106,103
158,108,100,102
159,96,116,98
160,65,129,120
161,117,94,99
162,102,111,96
163,105,97,109
164,109,95,106
165,107,108,95
166,125,111,76
167,103,111,95
168,101,104,104
169,106,98,105
170,102,84,125
171,92,104,114
172,114,71,127
173,93,109,108
174,109,99,102
175,100,114,96
176,71,128,113
177,109,110,91
178,108,99,103
179,104,104,102
180,101,105,103
181,113,87,111
182,116,79,116
183,101,103,105
184,90,96,125
185,96,114,100
186,110,104,96
187,103,107,99
188,101,112,97
189,103,99,108
190,99,115,97
191,99,105,105
192,6,97,255
193,100,103,107
194,88,128,96
195,121,103,87
196,107,93,110
197,131,122,61
198,152,158,19
199,102,122,87
200,157,105,55
201,103,83,125
202,121,49,147
203,101,83,127
204,181,0,158
205,94,115,101
206,94,116,100
207,77,120,115
208,106,108,95
209,97,104,108
210,104,99,107
211,99,113,98
212,99,103,108
213,98,114,98
214,93,120,97
215,105,107,98
216,119,104,87
217,110,92,107
218,100,98,112
219,103,104,103
220,106,93,111
221,106,101,103
222,109,100,101
223,103,96,110
224,95,132,85
225,100,102,107
226,111,103,96
227,99,112,99
228,103,106,101
229,106,107,97
230,97,108,104
231,104,102,103
232,119,98,94
233,99,98,113
234,98,98,113
235,105,103,102
236,97,99,114
237,102,111,97
238,100,98,112
239,106,95,109
240,120,103,87
241,110,100,100
242,101,104,105
243,103,108,99
244,100,104,105
245,99,98,113
246,94,92,126
247,97,105,108
248,107,101,102
249,103,106,100
250,104,116,90
251,111,98,101
252,101,117,92
253,100,104,106
254,104,102,104
255,104,100,105
