,0 pi,2/3 pi,4/3 pi
0,1080973.6925496778,1033047.7819138304,1032445.9719777261
1,1080906.1293421392,1033047.0100622345,1032511.2320242375
2,1080776.6287042324,1033010.4186325058,1032671.4409351023
3,1080607.4102467159,1033675.9280823808,1032168.0568048437
4,1079561.580454841,1034051.968535024,1032791.5829828238
5,1080541.1141082088,1033131.5030202415,1032775.3069139489
6,1080552.583834072,1033125.4431637401,1032770.4097157853
7,1080613.0889466533,1033199.3664202403,1032638.7340068229
8,1066463.3172403567,1038845.4635821014,1040646.9054478302
9,1067026.63775025,1037903.8164907402,1041041.2449621636
10,1066952.511774245,1038244.6874599729,1040771.7556799257
11,1068165.979176648,1044756.4037532087,1033109.6173460601
12,1064022.313445851,1042229.5915109159,1039647.0799635039
13,1062734.0108960865,1041691.5086042712,1041444.9075682372
14,1065656.7685894868,1039236.3584770351,1041042.6397936583
15,1079263.0738289284,1037253.654464799,1029887.8963007359
16,1034992.0736997759,1063045.9871197706,1047877.9937447078
17,1037628.337642625,1063841.6680391175,1044434.4403129603
18,1036246.4410219108,1061300.898887278,1048330.3840645858
19,1060650.0705532825,1047172.7405798285,1038028.6863803923
20,1051256.1950945822,1051448.31614203,1043045.4331218511
21,1041454.9303091095,1064920.192588804,1039543.3350231625
22,1036504.8461730082,1069531.6683261213,1040005.3757422621
23,1035642.3758818553,1079474.0618883104,1031288.984185993
24,1028883.4421241999,1080162.7082581986,1037401.9705484691
25,1035055.3427102118,1078879.0357016502,1032442.7042215713
26,1045327.6297637431,1068634.0104598403,1032092.7724391829
27,1073433.9213506936,1037276.4891672378,1035455.176919535
28,1057783.4434059835,1051324.994141201,1036730.4966296558
29,1041528.5770403326,1070242.8497230099,1034301.2537021738
30,1037219.2285690412,1080021.0067318894,1029199.7001013639
31,1031432.4848336201,1080353.6837870453,1034655.8106467548
32,1018916.1721853312,1068323.4533495295,1059147.0148750283
33,1022298.5629502812,1070541.9446576447,1053458.1392312828
34,1053089.1537895056,1057167.7623060858,1035596.3269108996
35,1072604.5508905675,1037000.6986533403,1036531.1055759019
36,1066559.641952524,1042714.3968888338,1036691.894725824
37,1036172.3205327585,1070042.3335682082,1039842.7867681005
38,1027361.7595071364,1079228.2447402966,1039836.9495076429
39,1021971.6078083642,1076267.9062681312,1048191.6387146703
40,1019594.8357050362,1053565.3290747877,1073270.9199678095
41,1021265.1778079845,1059532.1991493478,1065479.7271587988
42,1046034.9799187356,1056439.2121598278,1043299.6444255831
43,1054991.4997274876,1049064.5998031092,1041714.0922377054
44,1054248.2864698514,1050545.942388052,1040978.4875175486
45,1029708.016591854,1064142.5625792386,1052168.8632335335
46,1018094.8122861128,1064709.3104066618,1063598.5599648464
47,1019634.0652469675,1058544.7664379864,1068179.1479297136
48,1029289.5420977793,1037754.4769837359,1079369.2633143393
49,1028892.3134710953,1046051.1934673423,1071216.6793129635
50,1026118.6245662319,1052762.0545962509,1067262.6411504732
51,1029407.617088117,1050791.9769468189,1065848.1881525163
52,1036171.3175037138,1040764.1256144049,1069095.793268302
53,1036219.1551917351,1038902.4046567663,1070962.8271726114
54,1027647.9554177183,1041976.9223637979,1076710.1053802741
55,1028282.630523838,1039359.0244524586,1078757.5158423788
56,1043664.0574094623,1024649.8019436582,1078114.593005942
57,1047295.3937890525,1022917.7454837743,1076193.1812809866
58,1053430.0819166917,1021645.8257426026,1071254.3291423726
59,1046361.8793785451,1025285.1304840543,1074666.5311289167
60,1048622.59844352,1025024.423397608,1072621.115088475
61,1049662.1763124035,1025427.366922891,1071137.211425586
62,1042251.4982150737,1026272.6817535806,1077869.1893992682
63,1041758.4159132462,1025960.0817369347,1078708.4310781874
