,0 pi,2/3 pi,4/3 pi
0,998055.9887513258,1068036.221772568,1081551.3011767399
1,1033449.834645133,1046852.1805257518,1065675.9233104764
2,1030370.0665148004,1033464.3399370277,1082716.207496646
3,1035290.0441979815,1079537.9814525642,1031578.946159193
4,982567.2347867626,1031233.7804262184,1137951.222888426
5,1096157.2807031386,987973.756742097,1064548.018378165
6,1199371.7483383191,903615.7005001792,1063642.3324187975
7,1074260.6920831064,1032185.3661025045,1039761.6270059956
8,1097776.8951347969,965785.5514119394,1087299.0273857804
9,967024.2502992984,1096861.2113253481,1086819.012379132
10,882652.647680007,1172956.2369716307,1112492.034674011
11,1021352.997117838,1071812.3292927137,1053183.5728409628
12,689919.1901157112,1299122.1023866874,1269145.5689838806
13,1056234.5100331,1047274.9578315064,1042266.2907893572
14,1025664.1129820545,1045106.9046094652,1075560.1882413612
15,1113842.0399419796,984755.8617603015,1051103.9603440976
16,1165768.8348739299,1019472.2243267639,970342.8043057544
17,1045813.4611087557,1046158.3015763934,1053775.5550060163
18,1078898.1656225247,1010669.4572845517,1057320.21317834
19,1047464.3162323016,1052487.2961905978,1045787.978105586
20,1079566.2052612007,1021042.4462899045,1045941.9887906748
21,1058346.03200736,1039051.0280433821,1048419.7272234523
22,1062682.5323281756,1041206.9259696308,1041980.0656262157
23,1038299.9732533449,1052052.7044431495,1055453.9951674016
24,1049783.4445575525,1049526.9109995293,1046420.9852779267
25,1037449.5794417555,1056380.8625497234,1051991.1963127556
26,1014731.281966494,1080575.2198879654,1051459.7498809223
27,1051725.0560231074,1050332.9528511893,1043687.5863794974
28,964413.9353529498,1102394.8408688668,1084281.2587938395
29,1042549.831513091,1052587.086093847,1050618.0586347368
30,1050206.0972323483,1036033.6338304451,1059622.733419736
31,1059721.267210508,1045608.6825458381,1040492.6355445101
32,1063916.6485781842,1147463.31330837,944292.9637548191
33,1030442.8095810808,1067137.8258353262,1048468.4339108207
34,1051817.84661153,1028139.5194826483,1066121.5694899787
35,1056571.4864833616,1073180.6701408387,1016777.0614590403
