,0 pi,2/3 pi,4/3 pi
0,1049919.5310160678,1047904.8799813669,1047904.8792667688
1,1049955.9783395715,1047886.69179456,1047886.6910605825
2,1049990.8441727909,1047869.2937010482,1047869.2929485332
3,1050023.960385006,1047852.769474067,1047852.7687039447
4,1050055.1670367797,1047837.1987901372,1047837.1980034227
5,1050084.3062335812,1047822.6602986848,1047822.6594964777
6,1050111.2303254227,1047809.2275336834,1047809.2267171617
7,1050135.8039585957,1047796.9678933889,1047796.9670638024
8,1050157.8958797501,1047785.9467324157,1047785.9458910845
9,1050177.3912350198,1047776.2212288684,1047776.220377172
10,1050194.1895226901,1047767.8414090031,1047767.8405483766
11,1050208.1984463423,1047760.8532163796,1047760.852348305
12,1050219.3441644097,1047755.2934014101,1047755.2925274102
13,1050227.5671925566,1047751.1915677423,1047751.1906893706
14,1050232.8203552556,1047748.571195838,1047748.5703146737
15,1050235.0769851704,1047747.4455543522,1047747.4446719881
16,1050234.324774929,1047747.8207679114,1047747.8198859473
17,1050230.5657773803,1047749.6958173638,1047749.6949373978
18,1050223.82460397,1047753.0584501609,1047753.0575737789
19,1050214.1340769953,1047757.8923366107,1047757.8914653804
20,1050201.5475265356,1047764.1709348053,1047764.1700702665
21,1050186.1346900945,1047771.8595342668,1047771.8586779224
22,1050167.9755624991,1047780.9183218443,1047780.9174751544
23,1050147.1665430693,1047791.2993128829,1047791.298477256
24,1050123.8183841622,1047802.9473717695,1047802.946548555
25,1050098.0541396122,1047815.8012323702,1047815.8004228544
26,1050070.0050636854,1047829.7955409866,1047829.7947463836
27,1050039.812658537,1047844.8598318122,1047844.8590532616
28,1050007.6307214398,1047860.9175021601,1047860.9167407198
29,1049973.6191942976,1047877.8888779759,1047877.8881346197
30,1049937.9421123918,1047895.6922345854,1047895.6915101985
31,1049900.769651982,1047914.2427722934,1047914.2420676716
32,1049955.9783395715,1047886.69179456,1047886.6910605825
33,1049991.6938982618,1047929.3185560217,1047808.4235689488
34,1050028.7843509796,1047881.3592564135,1047819.3658695455
35,1050062.7905589002,1047865.1171878178,1047801.673198154
36,1050094.834507607,1047849.8130798478,1047785.0022129866
37,1050124.7542448316,1047835.5241424142,1047769.4370282572
38,1050152.4021576375,1047822.3207331744,1047755.054294151
39,1050177.6326813288,1047810.272230655,1047741.9295943293
40,1050200.318692922,1047799.439208775,1047730.1289212769
41,1050220.3371708677,1047789.8802881446,1047719.7161393794
42,1050237.5855888007,1047781.6443108659,1047710.744460551
43,1050251.9716727624,1047774.7752346025,1047703.2617752848
44,1050263.415451888,1047769.3111558928,1047697.3095885733
45,1050271.8574560618,1047765.2803983334,1047692.9187585032
46,1050277.2525701993,1047762.7044489648,1047690.1126948342
47,1050279.5700351812,1047761.597959209,1047688.907359931
48,1050278.7975465693,1047761.9667888429,1047689.3091379479
49,1050274.9392058495,1047763.8089846147,1047691.3159008395
50,1050268.0155203412,1047767.1147801493,1047694.9170082697
51,1050258.0654517692,1047771.8656171539,1047700.0922414174
52,1050245.1423173794,1047778.0361012716,1047706.8139336222
53,1050229.3137888392,1047785.594000982,1047715.046969288
54,1050210.6680377761,1047794.4973110289,1047724.7455851217
55,1050189.3014400874,1047804.7001209497,1047735.859763036
56,1050165.3267700237,1047816.1486996823,1047748.3309651755
57,1050138.8711490291,1047828.7824717708,1047762.0931975181
58,1050110.069896757,1047842.5369504907,1047777.0762051867
59,1050079.068577845,1047857.3427572551,1047793.204404463
60,1050046.0229996426,1047873.1256193424,1047810.3968805092
61,1050011.0992098798,1047889.8063675669,1047828.5673850445
62,1049973.9359974228,1047922.4051916783,1047833.057552647
63,1049936.6877043103,1047902.48869894,1047890.1470497879
64,1049990.8441727909,1047869.2937010482,1047869.2929485332
65,1050028.7843509796,1047881.3592564135,1047819.3658695455
66,1050065.943040926,1047831.8222211478,1047831.8214287042
67,1050100.8188978327,1047814.4218633256,1047814.4210523395
68,1050133.6827036932,1047798.026157922,1047798.0253294638
69,1050164.3683504267,1047782.7178288129,1047782.7169840408
70,1050192.7220241704,1047768.573462094,1047768.572602247
71,1050218.6001582171,1047755.6645310194,1047755.6636574152
72,1050241.8653360954,1047744.0594430821,1047744.058557109
73,1050262.3965418409,1047733.818430285,1047733.8175333971
74,1050280.087112774,1047724.9945739202,1047724.9936676275
75,1050294.8406422562,1047717.6358513247,1047717.6349371887
76,1050306.5771305156,1047711.7820707031,1047711.781150328
77,1050315.2350360455,1047707.4638505345,1047707.4629255567
78,1050320.7692273092,1047704.7036432693,1047704.7027153489
79,1050321.024633608,1047779.0818841503,1047630.0749941141
80,1050321.8217020186,1047741.4252699927,1047666.9325602408
81,1050318.3956723814,1047705.8874637105,1047705.8865370526
82,1050311.2955206295,1047709.4287180714,1047709.4277951882
83,1050301.0901193724,1047714.5188021017,1047714.5178846434
84,1050287.8348549865,1047721.130158192,1047721.1292477804
85,1050271.6035727942,1047729.2260396859,1047729.2251379031
86,1050252.4803768834,1047738.7645986915,1047738.7637070753
87,1050230.5657773803,1047749.6958173638,1047749.6949373978
88,1050205.9787379454,1047761.9604833922,1047761.9596164979
89,1050178.8464254404,1047775.4952996753,1047775.4944472054
90,1050149.3062574132,1047790.2318597956,1047790.2310230308
91,1050117.512048332,1047806.0935782628,1047806.092758402
92,1050083.6217099023,1047823.0018228238,1047823.0010209811
93,1050047.7832115195,1047847.5570211163,1047834.208071665
94,1050009.591496286,1047897.032468567,1047822.8463249614
95,1049971.0670473368,1047885.4887382194,1047872.8353666947
96,1050023.960385006,1047852.769474067,1047852.7687039447
97,1050061.4369472193,1047897.4963345989,1047770.6476630548
98,1050100.8188978327,1047814.4218633256,1047814.4210523395
99,1050136.5085747205,1047799.0196942624,1047794.2122231344
100,1050169.587895319,1047816.5697883316,1047743.6586118361
101,1050200.98047955,1047801.6274861606,1047727.2805658971
102,1050230.5631592907,1047752.2452422566,1047747.1481305945
103,1050257.0463617072,1047739.0759717684,1047733.8973075821
104,1050280.8598360447,1047724.6091533964,1047724.608246693
105,1050301.8730987932,1047714.1282777303,1047714.1273598563
106,1050319.9759923327,1047705.0992720822,1047705.0983445838
107,1050335.0762041418,1047697.5680639048,1047697.5671283791
108,1050347.0875808515,1047691.5775238074,1047691.5765818962
109,1050355.904771464,1047697.9920644682,1047676.3673281176
110,1050359.4451476973,1047761.5598228343,1047609.2736185081
111,1050309.2833987926,1048090.7075913135,1047330.2938048189
112,1050318.7844550745,1048048.7190025911,1047362.7792694382
113,1050357.3122911842,1047757.184716624,1047615.7753890093
114,1050351.9139375403,1047691.9053883326,1047686.4345968318
115,1050341.4713313158,1047694.3785527784,1047694.3776138534
