,0 pi,2/3 pi,4/3 pi
0,997076.947736779,1143732.8598463512,1011161.8066077497
1,1028759.8852478899,1050341.2264918056,1066977.0547587164
2,1055429.661154337,1028115.864417418,1062496.8758905174
3,1045886.0783362385,1063521.817120885,1036499.6059245528
4,960561.3275041694,1067101.7075864475,1124677.0672016586
5,1130988.0965305998,968546.0752380609,1052487.429579269
6,1279275.036394192,865251.9288314314,1042353.9664187857
7,1078333.7174838746,1015647.5747642522,1052693.9262561626
8,1105404.0464743082,957832.2347844611,1088720.403526449
9,961092.9959725449,1104614.5417190494,1085823.4473111855
10,850621.1899300257,1205395.4903818003,1122561.8961347137
11,1007981.7023172373,1099771.5055101817,1040044.378745468
12,697548.8462025796,1263717.615716253,1291632.5619433452
13,1073951.4470148785,1035688.6772371174,1036543.1205299444
14,1022577.0951209642,1044631.472991349,1079299.1619053774
15,1082159.748467632,1016098.0842686332,1048510.7816137769
16,1153552.9532553486,1004607.9176891441,995098.436246955
17,1049579.0681505387,1042105.2782007242,1054078.5361392216
18,1074322.255278295,1008557.4247467945,1064041.878942798
19,1041834.9277787044,1056501.863540774,1047443.4429218279
20,1080807.073015123,1014178.2965019095,1051806.981421903
21,1060545.445364464,1036993.4828246684,1048321.3852147242
22,1065651.6623384596,1031138.4406136371,1049222.109758211
23,1029279.1968647259,1062092.8439376352,1054638.148942298
24,1041226.7172318231,1065377.7721512746,1039324.6810221077
25,1037322.4870574832,1056317.3441788293,1052183.3358360562
26,1017458.2373491576,1084136.1090153556,1045203.594219373
27,1061081.2064639223,1042351.5736862522,1042406.4103533933
28,959746.7208777323,1111897.6933141411,1080229.850717891
29,1040833.557030441,1054508.3928602391,1050433.059883985
30,1050489.3813459424,1044377.5632169944,1050873.7237512998
31,1062600.1120465756,1042973.6303196838,1040295.69660465
32,1034599.7378441043,1132468.8697821535,984086.9294965307
33,1027476.1109949221,1069462.9534243962,1049209.416509635
34,1061555.8330594501,1021487.7593951048,1063216.7997527013
35,1055315.700671001,1073031.8872872177,1018129.2058186223
36,1085530.459677146,1001806.6935127564,1060148.416725966
37,1058263.0408360006,1030224.7631357748,1057483.3485537192
38,1064453.1908977886,1029743.1089876926,1051826.0502238476
39,1023662.8449932807,1080520.525173566,1042345.5838052498
40,1012858.3421208158,1062754.9472346348,1071059.8102923268
41,1041964.297721601,1059394.9027249059,1044453.5599240316
42,1021021.3774519166,1067748.381500644,1057533.7685451354
43,1043313.302898446,1052909.2969534656,1049527.9924841812
44,1057749.2171203436,1060881.4481895405,1027423.0076497117
45,1070986.4136056323,1017004.7921000464,1058498.4122972311
46,1072569.2823667258,1039027.9748867812,1034542.5975971757
47,1046192.3532415093,1043045.7577767796,1056537.4051225767
48,861243.2683449865,1107799.4922573315,1206899.0043293103
49,1020762.9973417616,1046694.3012567236,1079084.9872469779
50,1042982.9168993805,1026878.3414583983,1076477.2978277586
51,1057950.8645014744,1058002.6972173755,1030022.8464286852
52,1035375.5714999684,1026258.5681187717,1085048.615648429
53,1079262.4213943619,1031846.5193597273,1035285.6853718518
54,1047607.2373069465,1077188.1938324769,1021668.5323970414
55,1042139.8342993554,1070842.0375191327,1033116.2298669763
56,1040980.6956571147,1067821.7002805055,1037191.5210855058
57,1052010.8547674327,1040954.4887867981,1052804.5062218055
58,1101476.5166224202,1015973.7422240635,1030278.0038200426
59,1066990.3506580777,1012851.666208647,1066814.709010453
60,1157979.7071815357,977504.2009579948,1018772.0410786902
61,1064704.4237484254,1053532.190774955,1027832.3012407772
62,1036619.3904481061,1057796.1825909342,1051425.0009953426
63,1029397.6835285466,1058440.0944501166,1058155.7518087304
64,1497418.1512858127,1037500.9295064267,747262.9775793953
65,1017409.9597016657,1076765.2601858212,1052401.7182657586
66,1100731.7335405336,1021441.7985803279,1025456.938453453
67,993001.9118111924,1079458.853374323,1075540.6021951106
68,984967.0436232041,1075429.9259297783,1088357.3913465727
69,1073272.393094141,1052322.7200077297,1020798.267652534
70,1079629.3570040904,1042512.4079170264,1024343.5006488528
71,1081290.5801504701,1016585.2112863774,1048850.418269199
72,1074438.117047234,1018151.1716678296,1053912.521741832
73,1033137.8490254371,1031431.3434320505,1081943.421812849
74,1047772.2790673026,1022378.4012906204,1076270.5395330612
75,1033363.8087489002,1050791.5181861862,1061768.3405080254
76,947188.4633337753,1027365.4619412775,1185153.8337689755
77,1084648.7902914684,1035056.8415354751,1026952.8145205217
78,987946.6382099747,1107523.4675581455,1053678.1786083723
79,1084835.5468766245,1023766.9746294869,1038098.0898054782
80,1262077.6006981428,1043637.1147027848,875792.6189530275
81,1059154.0180375995,1053135.592728887,1033608.4777301932
82,1065174.464569641,1067728.465695149,1013710.8625784146
83,1019161.0591848809,1046261.4459089932,1081228.9013368625
84,1041950.3962001702,1103596.361352999,1002650.4313045095
85,1047524.1795675416,1046003.6320660502,1052210.1688317743
86,1044114.6462647204,1022898.1826673419,1079494.8113920568
87,1082841.3085497073,1001646.7679410458,1062947.9758587142
88,1067970.5350090638,1032449.4591868292,1045615.5400715464
89,1038819.7866859909,1068757.329836146,1038439.4612400724
90,1006061.361679984,1084391.9574632372,1056779.9733474273
91,1012938.1782778471,1095084.2263049418,1039382.466341948
92,977515.2438253275,1130988.1580504633,1042881.3921864012
93,1043519.4156381405,1042348.5614107988,1059952.4197431095
94,1054662.2483433762,1047440.193938134,1043655.3813392037
95,1068561.2019669816,1039550.8791408739,1037899.5515708488
96,1374701.257040152,981960.8707340093,858382.3903630435
97,1050587.586589842,1042869.1589771789,1052295.3097169795
98,1077633.218737905,1070367.8113579703,999503.777532969
99,1024725.9800021814,1028955.9249318491,1093461.246968832
100,1018896.723335549,1111056.789567197,1018486.5609428892
101,1038056.1229764437,1029844.9907056794,1078473.103728021
102,1059213.2298402316,976891.9849347259,1114175.7026972547
103,1116429.761482319,985843.2752044918,1047524.8215947049
104,1079077.2201676932,999947.1410643322,1068462.9530794497
105,1033048.9626669732,1081861.608828614,1031598.0436084619
106,970195.5011459307,1141578.2519516416,1041027.2815131508
107,999324.5404208305,1094863.2962615755,1053730.3662983305
108,910747.8031939839,1209262.4723237269,1047017.0693983041
109,1051558.7824001042,1057680.1182524692,1036601.2384213434
110,1047849.9484392633,1053723.036471489,1044177.1255840886
111,1073880.242530581,1066027.5442828294,1007091.1352178144
112,951114.3445088271,1151399.464630312,1052778.8809480697
113,1070376.0156240363,1039614.8651854034,1036076.5040436888
114,990198.6350100436,1121580.9545140886,1038163.7143217418
115,1091049.3005990835,1011741.8506549821,1044451.7509921032
116,1039029.1164545034,1094129.2117902741,1014166.7816195007
117,1016592.2374782925,1068281.3138065573,1061608.2860687869
118,1013068.2990946546,1074771.9661028215,1058866.490918345
119,1050885.5931569263,1040161.7507553543,1054735.0473234027
120,1041654.1699058801,1045128.686270421,1059025.7246709995
121,1058520.5039705369,1054615.1458691075,1032775.930278237
122,1083023.4657668928,1022979.5814742829,1040633.1456491031
123,1036071.0380204464,1055478.7526954077,1054291.0670141708
124,1138209.902388687,1007144.5043854687,1005887.2613718822
125,1033837.0713491518,1060014.987374913,1052047.664199531
126,1077806.9521306453,1032957.3246694007,1035568.1024825549
127,1019128.1932895329,1070012.5624109926,1057255.7166166247
128,1783628.657988123,1329745.9040189914,462242.9658589955
129,1077549.4163307736,1028889.7503402802,1039909.6677348531
130,964294.0511088793,1086916.918373609,1099854.4882387572
131,1150582.7032063736,985587.1926201301,1016882.1220977124
132,1038278.6580054683,1089826.9375479973,1018903.932561201
133,1068290.1774607473,1033090.4550147165,1044654.3547074092
134,1050354.4727484072,1073273.6934622582,1022711.1415833553
135,1041842.965265493,1038022.1467142316,1066083.770115305
136,1043837.5018372404,1014696.2001044125,1088512.5838293866
137,1022994.7496116181,1072129.410540011,1051183.6028175084
138,1018791.7743875461,1083125.2133718862,1044809.7953591846
139,1063678.2710615208,1029887.0513199116,1052445.1076948901
140,1157059.9390336024,1052967.8429704816,946292.0423918429
141,1007474.5430950754,1084008.2197030885,1055673.1076111349
142,1105605.8888579723,1011487.2059382733,1030988.3193542529
143,926745.2008128088,1132694.3297641424,1097877.7730131415
144,1050664.4977447854,925908.3753649608,1185190.99259178
145,1048366.1124175029,1048179.6014110129,1049182.5575379187
146,1042913.8730961835,1057206.313867815,1045662.6629127288
147,1061609.4357548829,1057795.6311939661,1026673.2003581232
148,1057396.844058293,1030164.0198643578,1058412.0088307697
149,1023165.2426213373,1081492.9217158908,1041915.437256985
150,994003.7561817777,1116199.6805206644,1039165.3267460093
151,1050056.6531913164,1060156.271704022,1035659.6144976938
152,1069329.9548263003,1012634.1237209258,1064709.2651688326
153,1080968.6343447599,1023445.2199264275,1042135.30539969
154,1100244.5247657222,1003483.3910931643,1044250.7550827152
155,1047596.1237394438,1027113.2116883332,1071489.0869485564
156,1163955.6411604574,956182.0052842211,1036066.0043859142
157,1053484.0123868627,1049358.7306303666,1042912.3309173131
158,1070275.1882288,1043633.5689619089,1032183.5232500695
159,1036633.2685841213,1047743.5785859379,1061499.1257182932
160,1167736.981581563,817203.9383514476,1204354.0056676858
161,1059153.501596435,1060866.596666536,1026074.6879809306
162,1044818.9605214997,1043511.6626697995,1057453.9198025102
163,1077693.4416364091,1024365.6385828408,1044361.0836440983
164,1078983.3699586783,1041852.4512204343,1025606.1277289588
165,1032911.2639614097,1068258.5007794905,1044866.5168610391
166,977198.6931591186,1146962.8854601013,1028789.9296054408
167,1014352.3632242504,1082441.927010642,1050039.9211844278
168,1078179.2963744542,1013893.3080423588,1054664.3702242116
169,1072810.974548575,1045623.922161863,1027783.4346471698
170,1112090.6930048894,997193.4833025108,1039662.6053240345
171,1102729.2329628456,980842.5318044053,1065882.8575444587
172,1118737.3403939337,980670.945537192,1050864.9559105858
173,1034159.4745748672,1048552.8324941255,1063217.005122106
174,1054215.235400966,1048731.396825141,1042812.3832090837
175,1032098.1762576025,1067182.006430392,1046743.9471762961
176,1016185.0469199747,953556.06573311,1190343.1066002517
177,1011367.6407431671,1084414.3060168214,1051221.7374281692
178,1053698.0549599575,1022507.6115379905,1070079.3201633347
179,1041703.5451902275,1065029.088903836,1039188.9801105846
180,1014135.047360023,1046968.3006350183,1085853.8911879533
181,1073542.6867895192,1055800.181522,1017177.2518966915
182,1094340.36693299,1054513.7582590769,999057.8334256479
183,1048790.4356974117,1045858.0237696681,1051086.0893724035
184,1081365.2558660246,974199.1222480849,1094308.6746134127
185,1020328.5949737951,1051390.4625700377,1074719.0131423364
186,1035693.6162003905,1063019.749255853,1047194.1525115399
187,1041739.4023164533,1053356.18265578,1050667.683782979
188,978531.3294843826,1089805.1448254976,1081042.048125738
189,1079678.5673474716,1017985.889797012,1048970.9668590606
190,1014404.2526307339,1063081.9820951151,1069099.6461362343
191,1065551.7525787768,1018320.4892270775,1062522.3404973643
192,1623145.1606048273,391086.3396663989,1608302.6164380743
193,1057756.7247573955,1036721.439015348,1051360.732795843
194,1028215.1668343168,1049824.328153069,1068068.0744440106
195,1033830.529244254,1088713.208360454,1024336.0889932482
196,1161435.192913441,967988.6260581674,1025709.7461056641
197,949677.0741736141,1170970.18267315,1036930.2201119758
198,858173.1921273281,1278452.5752426737,1051307.173452716
199,985064.8840352191,1115677.6342868544,1049053.3809683772
200,968030.1465987357,1212269.7499769574,983281.105184179
